scope,encoder,metric,k,value,n_subjects,n_segments,n_dims,use_pca
global,usfeeg,dbi,3,1.1056683864987897,200,74540,128,False
global,usfeeg,dbi,4,1.161115672519634,200,74540,128,False
global,usfeeg,dbi,5,1.3562895052654735,200,74540,128,False
global,usfeeg,dbi,6,1.3878076043264391,200,74540,128,False
global,usfeeg,dbi,7,1.336009302907862,200,74540,128,False
global,usfeeg,dbi,8,1.4197380064199954,200,74540,128,False
global,usfeeg,dbi,9,1.4458804432464565,200,74540,128,False
global,usfeeg,dbi,10,1.5237548766415336,200,74540,128,False
global,usfeeg,dbi,11,1.5529245829930005,200,74540,128,False
global,usfeeg,dbi,12,1.5877179561246848,200,74540,128,False
global,usfeeg,dbi,13,1.5491677770559467,200,74540,128,False
global,usfeeg,dbi,14,1.5136856777061942,200,74540,128,False
global,usfeeg,dbi,15,1.520759807259494,200,74540,128,False
global,usfeeg,dbi,16,1.4276347328276988,200,74540,128,False
global,usfeeg,dbi,17,1.5232793773837372,200,74540,128,False
global,usfeeg,dbi,18,1.5171042446514784,200,74540,128,False
global,usfeeg,dbi,19,1.475915338639364,200,74540,128,False
global,usfeeg,dbi,20,1.455488565779858,200,74540,128,False
global,usfeeg,wcss,3,4769355.026173817,200,74540,128,False
global,usfeeg,wcss,4,3843607.127907749,200,74540,128,False
global,usfeeg,wcss,5,3499468.4068773156,200,74540,128,False
global,usfeeg,wcss,6,3223222.422977053,200,74540,128,False
global,usfeeg,wcss,7,3009254.7777192406,200,74540,128,False
global,usfeeg,wcss,8,2860603.0641210107,200,74540,128,False
global,usfeeg,wcss,9,2756500.4746583854,200,74540,128,False
global,usfeeg,wcss,10,2661387.175211051,200,74540,128,False
global,usfeeg,wcss,11,2585073.4157231655,200,74540,128,False
global,usfeeg,wcss,12,2512702.310569042,200,74540,128,False
global,usfeeg,wcss,13,2450331.4976587673,200,74540,128,False
global,usfeeg,wcss,14,2362353.435264973,200,74540,128,False
global,usfeeg,wcss,15,2309516.627498734,200,74540,128,False
global,usfeeg,wcss,16,2240805.344140894,200,74540,128,False
global,usfeeg,wcss,17,2225327.236727595,200,74540,128,False
global,usfeeg,wcss,18,2159534.6123075862,200,74540,128,False
global,usfeeg,wcss,19,2095968.197531922,200,74540,128,False
global,usfeeg,wcss,20,2055767.2456652457,200,74540,128,False
global,usfeeg,norm_entropy,3,0.766477231861505,200,74540,128,False
global,usfeeg,norm_entropy,4,0.8147669288261921,200,74540,128,False
global,usfeeg,norm_entropy,5,0.8562476780371426,200,74540,128,False
global,usfeeg,norm_entropy,6,0.8779140166334545,200,74540,128,False
global,usfeeg,norm_entropy,7,0.8804718277858843,200,74540,128,False
global,usfeeg,norm_entropy,8,0.8797218111718766,200,74540,128,False
global,usfeeg,norm_entropy,9,0.876416742257084,200,74540,128,False
global,usfeeg,norm_entropy,10,0.8824761050472706,200,74540,128,False
global,usfeeg,norm_entropy,11,0.8833897697615887,200,74540,128,False
global,usfeeg,norm_entropy,12,0.8980501010875227,200,74540,128,False
global,usfeeg,norm_entropy,13,0.8758953152391454,200,74540,128,False
global,usfeeg,norm_entropy,14,0.8628462652371637,200,74540,128,False
global,usfeeg,norm_entropy,15,0.866944571154438,200,74540,128,False
global,usfeeg,norm_entropy,16,0.8462435491134033,200,74540,128,False
global,usfeeg,norm_entropy,17,0.879415083950359,200,74540,128,False
global,usfeeg,norm_entropy,18,0.8740177842759997,200,74540,128,False
global,usfeeg,norm_entropy,19,0.8723955577997874,200,74540,128,False
global,usfeeg,norm_entropy,20,0.8607525414684616,200,74540,128,False
global,luna,dbi,3,1.3671007217086923,200,74540,256,False
global,luna,dbi,4,1.5556826643313086,200,74540,256,False
global,luna,dbi,5,1.4755161455924952,200,74540,256,False
global,luna,dbi,6,1.527420895532049,200,74540,256,False
global,luna,dbi,7,1.4569439632948742,200,74540,256,False
global,luna,dbi,8,1.5277114094841897,200,74540,256,False
global,luna,dbi,9,1.5092943423321044,200,74540,256,False
global,luna,dbi,10,1.6106816169885363,200,74540,256,False
global,luna,dbi,11,1.5520587106951889,200,74540,256,False
global,luna,dbi,12,1.6068666261205016,200,74540,256,False
global,luna,dbi,13,1.6352634650563465,200,74540,256,False
global,luna,dbi,14,1.6372332052804137,200,74540,256,False
global,luna,dbi,15,1.6672252357285091,200,74540,256,False
global,luna,dbi,16,1.709479815519984,200,74540,256,False
global,luna,dbi,17,1.773963254244637,200,74540,256,False
global,luna,dbi,18,1.7437754687344247,200,74540,256,False
global,luna,dbi,19,1.7630753786544222,200,74540,256,False
global,luna,dbi,20,1.7432977737101527,200,74540,256,False
global,luna,wcss,3,10429400.008905614,200,74540,256,False
global,luna,wcss,4,9312166.816143282,200,74540,256,False
global,luna,wcss,5,8467504.833527688,200,74540,256,False
global,luna,wcss,6,7786718.454985973,200,74540,256,False
global,luna,wcss,7,7222770.281677513,200,74540,256,False
global,luna,wcss,8,6874238.9898688635,200,74540,256,False
global,luna,wcss,9,6560413.128956989,200,74540,256,False
global,luna,wcss,10,6322811.476955196,200,74540,256,False
global,luna,wcss,11,6128018.604876625,200,74540,256,False
global,luna,wcss,12,5967105.995015156,200,74540,256,False
global,luna,wcss,13,5823462.7131066285,200,74540,256,False
global,luna,wcss,14,5696025.775962391,200,74540,256,False
global,luna,wcss,15,5591801.2625810085,200,74540,256,False
global,luna,wcss,16,5498627.368620906,200,74540,256,False
global,luna,wcss,17,5414429.0862786295,200,74540,256,False
